Description,2014,2015,2016,2017,2018,2019,2020_Jan,2020_Feb,2020_Mar,2020_Apr,2020_May,2020_Jun,2020_Jul,2020_Aug,2020_Sep,2020_Oct,2020_Nov,2020_Dec,2021_Jan,2021_Feb,2021_Mar,2021_Apr,2021_May,2021_Jun,2021_Jul,2021_Aug,2021_Sep,2021_Oct,2021_Nov,2021_Dec,2022_Jan,2022_Feb,2022_Mar,2022_Apr,2022_May,2022_Jun,2022_Jul,2022_Aug,2022_Sep,2022_Oct,2022_Nov,2022_Dec,2023_Jan,2023_Feb,2023_Mar,2023_Apr,2023_May,2023_Jun,2023_Jul,2023_Aug,2023_Sep,2023_Oct,2023_Nov,2023_Dec,2024_Jan,2024_Feb,2024_Mar,2024_Apr,2024_May,2024_Jun,2024_Jul,2024_Aug
Tagihan Kepada Pemerintah Pusat,615763000000000,755753000000000,782450000000000,858988000000000,893041000000000,930775000000000,938805000000000,962104000000000,980431000000000,1086043000000000,1129133000000000,1168199000000000,1208246000000000,1279234000000000,1307446000000000,1351436000000000,1381361000000000,1417749000000000,1447511000000000,1513397000000000,1516735000000000,1553984000000000,1495493000000000,1548166000000000,1539245000000000,1611120000000000,1669939000000000,1679200000000000,1695187000000000,1709978000000000,1639751000000000,1652927000000000,1628608000000000,1643126000000000,1597393000000000,1619829000000000,1646910000000000,1658218000000000,1678122000000000,1719870000000000,1722592000000000,1709320000000000,1745810000000000,1786791000000000,1763039000000000,1779777000000000,1692283000000000,1700305000000000,1700308000000000,1697956000000000,1663307000000000,1645797000000000,1672609000000000,1683711000000000,1716859000000000,1717600000000000,1670958000000000,1662006000000000,1628692000000000,1647130000000000,1630180000000000,1634942000000000
Kewajiban Kepada Pemerintah Pusat,199155000000000,264626000000000,263385000000000,370125000000000,420312000000000,441602000000000,504352000000000,530008000000000,492712000000000,627531000000000,639004000000000,591949000000000,605369000000000,570591000000000,516775000000000,555672000000000,527375000000000,599022000000000,775095000000000,861995000000000,824617000000000,889540000000000,730551000000000,750833000000000,703412000000000,752812000000000,751958000000000,641852000000000,581864000000000,582486000000000,643434000000000,723049000000000,742775000000000,830117000000000,802656000000000,933946000000000,903427000000000,992182000000000,1058353000000000,856894000000000,800897000000000,738363000000000,953385000000000,1039460000000000,1104577000000000,1172206000000000,1054972000000000,1002749000000000,1046905000000000,1032024000000000,961708000000000,858772000000000,889208000000000,775524000000000,909689000000000,977686000000000,894443000000000,897852000000000,846633000000000,851504000000000,873173000000000,885478000000000
Tagihan Kepada sektor lainnya,3961583000000000,4318126000000000,4711239000000000,5087392000000000,5725267000000000,6039881000000000,5942641000000000,5977671000000000,6113722000000000,6010687000000000,5968488000000000,5935850000000000,5922313000000000,5917755000000000,5957833000000000,5948476000000000,5894351000000000,5937958000000000,5862876000000000,5870594000000000,5900531000000000,5917561000000000,5961035000000000,6006521000000000,6008316000000000,6023004000000000,6147503000000000,6152951000000000,6222562000000000,6258559000000000,6222739000000000,6298283000000000,6423251000000000,6515883000000000,6553245000000000,6690292000000000,6688004000000000,6726775000000000,6805970000000000,6850359000000000,6843164000000000,6921210000000000,6836070000000000,6886377000000000,6948351000000000,6967182000000000,7090783000000000,7160390000000000,7197416000000000,7244937000000000,7412592000000000,7344195000000000,7424055000000000,7523368000000000,7495223000000000,7535941000000000,7686917000000000,7754820000000000,7811392000000000,7891869000000000,7950825000000000,7946634000000000
Tagihan Kepada Lembaga keuangan Lainnya,252742000000000,271704000000000,290028000000000,324909000000000,371297000000000,377277000000000,366883000000000,366691000000000,372407000000000,366526000000000,359593000000000,349797000000000,349395000000000,349308000000000,335039000000000,341645000000000,342680000000000,344142000000000,338820000000000,332716000000000,327012000000000,326446000000000,332240000000000,338973000000000,335441000000000,339721000000000,391008000000000,394061000000000,410980000000000,406102000000000,383341000000000,399618000000000,405325000000000,408159000000000,421123000000000,428415000000000,436057000000000,433924000000000,455189000000000,453451000000000,458442000000000,478553000000000,472524000000000,480413000000000,489269000000000,494993000000000,508417000000000,518460000000000,515976000000000,515406000000000,526170000000000,526457000000000,532158000000000,551184000000000,543534000000000,570188000000000,611161000000000,640933000000000,657217000000000,674524000000000,682320000000000,687208000000000
Pinjaman yang Diberikan,189010000000000,201493000000000,202648000000000,221986000000000,257599000000000,259283000000000,246206000000000,249620000000000,269475000000000,265731000000000,259031000000000,247442000000000,243656000000000,240606000000000,228603000000000,228000000000000,228692000000000,231258000000000,223415000000000,222456000000000,222996000000000,218068000000000,222048000000000,226977000000000,224431000000000,229593000000000,224554000000000,224220000000000,225109000000000,240706000000000,254370000000000,258819000000000,244700000000000,252482000000000,255322000000000,267443000000000,270067000000000,264793000000000,277768000000000,284232000000000,287546000000000,304106000000000,296479000000000,305303000000000,321676000000000,323492000000000,334091000000000,342499000000000,332863000000000,333220000000000,346800000000000,342447000000000,347105000000000,366053000000000,359762000000000,384873000000000,416362000000000,417566000000000,432631000000000,446779000000000,449009000000000,451571000000000
Tagihan Lainnya,63732000000000,70210000000000,87380000000000,102923000000000,113698000000000,117994000000000,120677000000000,117070000000000,102932000000000,100795000000000,100562000000000,102355000000000,105738000000000,108703000000000,106436000000000,113645000000000,113989000000000,112884000000000,115405000000000,110260000000000,104016000000000,108377000000000,110192000000000,111996000000000,111009000000000,110128000000000,166454000000000,169841000000000,185871000000000,165396000000000,128971000000000,140798000000000,160625000000000,155677000000000,165801000000000,160971000000000,165990000000000,169131000000000,177421000000000,169219000000000,170896000000000,174448000000000,176046000000000,175110000000000,167592000000000,171501000000000,174326000000000,175961000000000,183113000000000,182186000000000,179370000000000,184011000000000,185052000000000,185131000000000,183772000000000,185315000000000,194799000000000,223367000000000,224586000000000,227745000000000,233311000000000,235637000000000
Tagihan Kepada Pemerintah Daerah,6635000000000,6516000000000,589000000000,4476000000000,5242000000000,2400000000000,2330000000000,2232000000000,1638000000000,1947000000000,1968000000000,1728000000000,1727000000000,1699000000000,1641000000000,1721000000000,1742000000000,2643000000000,2569000000000,2163000000000,2216000000000,2087000000000,2138000000000,2006000000000,1941000000000,1862000000000,1651000000000,2049000000000,2007000000000,2796000000000,2709000000000,2496000000000,2243000000000,2067000000000,1817000000000,1794000000000,1793000000000,1765000000000,1770000000000,2116000000000,2387000000000,3259000000000,3304000000000,3262000000000,3084000000000,3030000000000,2868000000000,2712000000000,2482000000000,2558000000000,2368000000000,2216000000000,2215000000000,2343000000000,2341000000000,2262000000000,1995000000000,1834000000000,1658000000000,1487000000000,1387000000000,1230000000000
Tagihan Kepada Perusahaan Bukan keuangan BUMN,213528000000000,217778000000000,304802000000000,345288000000000,480134000000000,508582000000000,487966000000000,487195000000000,507256000000000,509432000000000,517429000000000,523665000000000,515822000000000,515191000000000,507736000000000,487830000000000,468738000000000,464184000000000,459007000000000,458931000000000,461900000000000,467169000000000,474405000000000,479002000000000,478871000000000,481116000000000,483665000000000,476282000000000,446399000000000,406463000000000,436221000000000,434655000000000,447237000000000,510792000000000,493184000000000,519302000000000,505969000000000,514655000000000,510365000000000,524781000000000,457057000000000,443388000000000,427023000000000,425879000000000,430071000000000,441849000000000,449842000000000,438024000000000,437311000000000,421124000000000,427987000000000,417676000000000,421639000000000,425368000000000,425463000000000,429056000000000,439344000000000,451920000000000,461968000000000,464927000000000,490234000000000,482788000000000
Tagihan Kepada Sektor Swasta,3488677000000000,3822128000000000,4115821000000000,4412719000000000,4868594000000000,5151622000000000,5085461000000000,5121553000000000,5232421000000000,5132783000000000,5089499000000000,5060659000000000,5055369000000000,5051556000000000,5113418000000000,5117280000000000,5081190000000000,5126988000000000,5062479000000000,5076784000000000,5109403000000000,5121859000000000,5152251000000000,5186540000000000,5192064000000000,5200306000000000,5271179000000000,5280560000000000,5363177000000000,5443198000000000,5400468000000000,5461514000000000,5568447000000000,5594865000000000,5637121000000000,5740781000000000,5744185000000000,5776430000000000,5838646000000000,5870010000000000,5925278000000000,5996010000000000,5933219000000000,5976823000000000,6025928000000000,6027310000000000,6129655000000000,6201195000000000,6241647000000000,6305849000000000,6456067000000000,6397846000000000,6468044000000000,6544473000000000,6523884000000000,6534434000000000,6634417000000000,6660134000000000,6690548000000000,6750931000000000,6776884000000000,6775408000000000
Simpanan dan Surat Berharga yang tidak termasuk Uang Beredar,-283176000000000,-263687000000000,-271978000000000,-333276000000000,-353968000000000,-361971000000000,-331459000000000,-338587000000000,-207078000000000,-317069000000000,-190181000000000,-307013000000000,-197935000000000,-202360000000000,-337792000000000,-323420000000000,-329328000000000,-350527000000000,-339092000000000,-320562000000000,-368223000000000,-355823000000000,-359795000000000,-362165000000000,-347346000000000,-363825000000000,-369513000000000,-285252000000000,-298066000000000,-247456000000000,-271502000000000,-267034000000000,-261277000000000,-261327000000000,-264092000000000,-286867000000000,-286017000000000,-290447000000000,-292288000000000,-298345000000000,-308290000000000,-327940000000000,-313844000000000,-316656000000000,-323395000000000,-320608000000000,-318910000000000,-332929000000000,-339833000000000,-348871000000000,-353857000000000,-364847000000000,-376629000000000,-414202000000000,-396417000000000,-396025000000000,-426202000000000,-427294000000000,-434079000000000,-449500000000000,-459110000000000,-458435000000000
